	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1263	0	0	0	0	0	0	0	0	0	0	0	0
gene-1264	5	1	0	0	4	0	0	0	0	0	1	0
gene-1265	0	0	0	0	1	0	0	0	0	0	0	2
gene-1266	0	0	0	1	0	0	1	0	0	0	0	0
gene-1267	323	211	272	5120	1493	577	208	905	804	586	491	431
gene-1268	0	0	2	2	2	1	3	4	4	2	1	0
gene-1269	1	0	0	0	0	0	1	0	0	0	0	0
gene-1270	0	0	0	0	0	0	0	0	0	0	0	0
gene-1271	0	0	2	1	0	0	0	0	0	0	0	0
gene-1272	0	0	0	0	0	0	0	0	0	0	0	0
gene-1273	0	0	0	0	0	0	0	0	0	0	0	0
gene-1274	1	0	1	0	0	0	3	4	1	0	2	0
gene-1275	0	0	0	0	0	0	0	0	2	0	0	0
gene-1276	0	0	0	0	0	0	0	0	0	0	0	0
gene-1277	0	0	0	1	0	2	0	0	0	0	1	0
gene-1278	0	0	0	0	0	0	0	0	0	0	0	0
gene-1279	0	0	1	0	0	0	0	0	0	0	0	0
gene-1280	0	0	0	0	0	0	0	0	0	0	0	0
gene-1281	0	0	0	0	0	0	0	0	0	0	0	0
gene-1282	0	0	0	0	2	0	0	0	0	0	0	0
gene-1283	0	0	0	0	0	0	0	1	0	0	0	0
gene-1284	0	0	0	0	0	0	0	0	0	0	0	0
gene-1285	0	0	0	0	0	0	0	0	0	0	0	0
gene-1286	0	0	0	0	0	0	0	0	0	0	0	0
gene-1287	0	0	0	0	0	0	0	0	0	0	0	0
gene-1288	0	0	0	0	0	0	0	0	0	0	0	0
gene-1289	0	0	0	0	0	0	0	0	0	0	0	0
gene-1290	0	0	1	0	0	0	1	0	0	0	0	3
gene-1291	0	1	2	4	2	1	10	4	0	1	0	7
gene-1292	0	1	2	2	1	2	2	0	0	2	2	1
gene-1293	0	0	0	0	0	0	1	0	0	0	0	0
