	Sample.12	Sample.8	Sample.10	Sample.1	Sample.5	Sample.3	Sample.6	Sample.2	Sample.4	Sample.11	Sample.7	Sample.9
gene-1592	0	0	0	0	0	0	0	0	0	0	0	0
gene-1593	1	0	0	0	0	0	0	0	0	0	0	0
gene-1594	1	0	0	1	0	0	0	0	0	0	0	0
gene-1595	0	0	0	0	0	0	0	0	0	0	0	0
gene-1596	0	0	0	0	0	0	0	0	0	0	0	0
gene-1597	1	0	0	2	1	0	0	0	0	0	0	0
gene-1598	1	0	0	0	0	0	0	0	0	0	0	0
gene-1599	0	0	0	0	0	0	1	0	0	1	0	0
gene-1600	1	0	3	0	0	3	1	1	0	0	1	0
gene-1601	0	0	0	0	0	0	0	0	0	0	0	0
gene-1602	0	0	0	0	0	0	0	0	0	0	0	0
gene-1603	0	0	0	0	0	0	0	0	0	0	0	0
gene-1604	0	0	0	0	0	0	0	0	0	0	0	0
gene-1605	0	0	0	0	0	0	0	0	0	1	0	0
gene-1606	0	0	0	0	0	0	0	0	0	0	0	0
gene-1607	0	0	0	0	0	0	0	0	0	0	0	0
gene-1608	0	1	0	0	0	0	0	0	0	0	0	0
gene-1609	0	0	0	0	1	0	0	0	0	0	0	0
gene-1610	1	3	1	12	8	2	9	3	1	3	0	1
gene-1611	1	0	1	3	0	0	0	1	0	1	0	0
gene-1612	0	1	0	0	0	0	0	0	0	0	0	0
gene-1613	0	0	0	1	0	0	0	0	0	0	0	1
gene-1614	1	0	0	0	0	0	0	0	0	0	0	0
gene-1615	4	1	0	0	3	0	6	3	3	1	1	1
gene-1616	0	0	0	0	0	0	0	0	0	0	0	0
gene-1617	0	0	0	1	1	0	0	0	0	0	0	0
gene-1618	0	0	1	0	0	0	0	0	1	0	0	0
gene-1619	1	0	2	0	1	3	1	1	3	3	0	0
gene-1620	0	0	0	2	1	0	0	0	0	0	0	0
gene-1621	0	0	0	0	0	1	0	0	0	0	0	0
gene-1622	0	0	0	0	2	0	0	0	0	0	1	0
gene-1623	0	0	0	0	0	0	0	0	0	0	0	0
gene-1624	0	0	0	0	0	0	0	0	0	0	0	0
gene-1625	0	0	0	0	0	0	0	0	0	0	0	0
gene-1626	2	1	0	0	0	0	0	0	0	0	0	0
gene-1627	0	2	0	0	1	0	0	0	0	0	0	0
gene-1628	6	4	2	6	2	4	11	3	2	3	1	5
gene-1629	0	1	0	0	0	0	0	1	0	2	0	0
gene-1630	0	0	0	2	0	0	0	0	0	2	0	0
gene-1631	0	3	0	0	4	1	6	0	0	0	3	0
gene-1632	0	0	0	0	0	0	0	0	0	0	0	0
gene-1633	2	0	0	3	0	0	2	5	0	2	5	1
gene-1634	0	2	2	2	1	2	2	0	0	2	1	0
gene-1635	1	0	0	1	0	0	0	0	0	0	0	0
gene-1636	0	0	1	0	0	1	0	2	2	1	1	0
gene-1637	0	0	0	0	0	0	0	0	0	0	0	0
gene-1638	0	0	0	0	0	0	0	0	0	0	0	0
gene-1639	0	0	0	0	0	0	0	0	0	0	0	0
gene-1640	2	0	1	5	7	1	10	1	4	5	0	0
gene-1641	0	1	0	0	0	0	0	0	0	0	0	0
gene-1642	0	0	0	0	0	0	0	0	0	0	0	0
gene-1643	0	0	0	0	0	0	0	2	0	0	0	0
gene-1644	1	0	0	0	0	0	0	0	0	0	0	0
gene-1645	0	0	0	0	0	0	0	0	0	0	0	0
gene-1646	0	0	0	0	0	0	0	0	0	0	0	0
gene-1647	0	0	0	0	0	0	0	0	0	0	0	0
gene-1648	0	0	0	0	0	0	0	0	0	0	0	0
gene-1649	0	0	0	0	0	0	0	0	0	0	0	0
gene-1650	0	0	0	0	0	0	0	0	0	0	0	0
gene-1651	0	2	2	1	8	4	8	10	4	0	0	4
gene-1652	1	1	0	0	0	0	0	0	0	0	0	0
gene-1653	34	26	36	285	423	174	179	44	68	243	219	132
gene-1654	50	54	33	216	686	210	130	79	75	381	413	165
gene-1655	0	0	0	0	0	0	0	0	0	0	0	0
gene-1656	0	0	0	0	1	0	1	0	1	0	0	0
gene-1657	1	0	1	0	0	0	1	1	0	0	0	0
gene-1658	0	0	0	0	1	0	0	0	0	0	0	0
gene-1659	1	1	1	0	0	3	1	2	1	0	2	0
gene-1660	0	0	0	0	0	0	0	0	0	0	0	1
gene-1661	0	0	0	0	0	0	0	1	0	0	0	0
gene-1662	3	2	2	2	1	1	4	6	0	0	1	1
gene-1663	0	0	0	0	0	0	0	0	0	0	0	0
gene-1664	0	1	0	1	0	0	2	1	2	0	1	0
gene-1665	0	0	0	0	0	0	0	0	0	1	1	0
gene-1666	0	0	0	0	0	0	0	0	0	0	0	0
gene-1667	0	0	0	0	0	0	0	0	0	0	0	0
gene-1668	0	0	0	0	0	0	0	0	0	0	0	0
gene-1669	0	0	0	0	0	0	0	0	0	0	0	0
gene-1670	0	0	0	0	1	0	0	0	0	0	0	1
gene-1671	0	0	0	0	0	0	0	0	0	0	0	0
gene-1672	0	0	0	0	0	0	0	0	0	0	0	0
gene-1673	0	0	0	0	1	0	0	1	1	0	0	0
gene-1674	2	0	0	2	1	0	3	0	1	0	0	1
gene-1675	6	1	3	32	15	5	20	18	12	6	5	3
gene-1676	0	0	0	0	0	2	2	0	0	1	0	1
gene-1677	0	0	0	0	1	0	0	1	0	0	0	1
gene-1678	0	0	0	4	2	2	1	0	0	0	0	0
gene-1679	2	2	0	5	9	3	4	1	2	3	1	2
gene-1680	0	0	0	0	0	0	0	0	0	0	0	0
gene-1681	0	0	0	0	0	0	0	0	0	0	0	0
gene-1682	0	0	0	0	0	1	0	0	0	1	1	0
gene-1683	0	0	0	0	0	1	0	0	0	0	0	0
gene-1684	0	0	0	0	0	0	0	0	0	0	0	0
gene-1685	0	0	0	0	0	0	0	0	0	0	0	0
gene-1686	0	0	0	0	0	0	0	0	0	0	0	0
gene-1687	0	0	0	0	0	0	0	0	0	0	0	0
gene-1688	0	0	0	0	0	0	0	0	0	0	0	0
gene-1689	0	0	0	0	0	0	0	0	0	0	0	0
gene-1690	0	3	2	3	6	2	3	4	0	0	1	0
gene-1691	0	0	0	0	1	0	0	0	0	0	1	0
gene-1692	0	0	0	0	0	0	0	0	0	0	0	0
gene-1693	0	0	0	0	0	0	0	0	0	0	0	0
gene-1694	0	0	0	1	0	0	1	0	0	0	0	0
gene-1695	0	0	0	0	0	0	0	0	0	1	2	0
gene-1696	0	0	0	0	0	0	0	0	0	0	1	0
gene-1697	0	0	0	0	0	0	0	0	0	0	0	0
gene-1698	0	0	0	2	0	0	0	0	0	0	0	0
gene-1699	0	0	0	1	1	0	2	2	0	7	3	3
gene-1700	1	0	1	2	5	3	0	11	2	7	5	6
gene-1701	0	0	0	0	0	0	0	0	0	0	0	0
gene-1702	1	0	0	0	0	0	0	1	0	2	2	2
gene-1703	0	0	0	0	0	0	0	0	0	0	0	0
gene-1704	0	0	0	0	0	0	0	0	0	0	0	0
gene-1705	0	0	0	0	0	1	0	0	0	0	0	0
gene-1706	0	0	0	0	0	0	0	0	0	0	0	0
gene-1707	0	0	0	0	0	0	0	0	0	0	0	0
gene-1708	0	0	0	0	0	0	0	0	0	0	0	0
gene-1709	0	0	0	0	0	0	0	0	0	0	0	0
gene-1710	0	0	0	0	0	0	0	0	0	0	0	0
gene-1711	0	0	0	0	0	0	0	0	0	0	0	0
gene-1712	0	0	0	0	0	0	0	0	0	0	0	0
gene-1713	0	0	0	0	0	0	0	0	0	0	0	0
gene-1714	0	0	0	0	0	0	0	0	0	0	0	0
gene-1715	0	0	0	0	0	0	0	0	0	0	0	0
gene-1716	0	0	0	0	0	0	0	0	0	0	1	0
gene-1717	0	0	0	0	0	0	0	0	0	0	0	0
gene-1718	0	0	0	0	0	0	0	0	0	0	0	0
gene-1719	0	0	0	0	0	0	0	0	0	0	0	0
gene-1720	0	0	0	0	0	0	0	0	0	0	0	0
gene-1721	0	0	0	0	0	0	0	0	0	0	0	0
gene-1722	0	0	0	0	0	0	0	0	0	0	0	0
gene-1723	0	0	0	0	0	0	0	0	0	0	0	0
gene-1724	0	0	0	0	0	0	0	0	0	0	0	0
gene-1725	1	0	1	0	2	0	3	0	0	0	0	0
gene-1726	0	0	0	0	0	0	0	0	0	0	0	0
gene-1727	0	0	0	0	0	0	0	0	0	0	0	0
gene-1728	0	0	0	0	0	0	0	0	0	0	0	0
gene-1729	0	0	0	0	0	0	0	0	0	0	0	0
gene-1730	0	0	0	0	0	0	0	0	0	0	0	0
gene-1731	0	0	0	0	0	0	0	0	0	0	0	0
gene-1732	0	0	0	0	0	0	0	0	0	0	0	0
gene-1733	0	0	0	0	0	0	0	0	0	0	0	0
gene-1734	0	0	0	0	0	0	0	0	0	0	0	0
gene-1735	0	0	0	0	2	0	1	0	1	1	0	1
gene-1736	0	0	0	0	2	1	1	0	0	0	0	0
gene-1737	0	0	0	0	0	0	0	0	0	0	0	0
gene-1738	0	0	0	0	0	0	0	0	0	0	0	0
gene-1739	0	0	0	3	4	1	0	0	0	1	1	2
gene-1740	0	0	0	0	0	0	0	0	0	0	0	0
gene-1741	0	0	0	0	0	0	0	0	0	0	1	0
gene-1742	0	0	0	0	0	0	0	0	0	0	0	0
gene-1743	0	0	0	0	0	0	0	0	0	0	0	0
gene-1744	0	0	0	0	0	0	0	0	0	0	0	0
gene-1745	0	0	0	0	0	0	0	0	0	0	0	0
gene-1746	0	0	0	0	0	0	0	0	0	0	0	0
gene-1747	0	0	0	0	0	0	0	0	0	0	0	0
gene-1748	0	0	0	0	0	0	0	0	0	0	0	0
gene-1749	0	0	0	0	0	0	0	0	0	0	0	0
gene-1750	0	0	0	0	1	0	0	0	0	1	0	0
gene-1751	0	0	0	0	0	0	0	0	0	0	0	0
gene-1752	0	0	0	0	0	0	0	0	0	0	0	0
gene-1753	0	0	0	0	0	0	0	0	0	0	0	0
gene-1754	0	0	0	0	0	0	0	0	0	0	0	0
gene-1755	0	0	0	0	0	0	0	0	0	0	0	0
gene-1756	0	0	0	0	0	0	0	0	0	0	0	0
gene-1757	0	0	0	0	0	0	0	0	0	1	0	0
gene-1758	0	0	0	0	0	0	0	0	0	0	0	0
gene-1759	0	1	0	0	0	0	0	0	0	0	0	0
gene-1760	0	0	0	0	0	0	0	0	0	0	0	0
gene-1761	0	0	0	0	0	0	0	0	0	0	0	0
gene-1762	0	0	0	1	0	0	0	1	1	0	0	0
gene-1763	0	0	0	0	0	0	0	0	0	0	0	0
gene-1764	0	0	0	0	0	0	0	0	0	0	0	0
gene-1765	0	0	0	0	0	0	0	0	0	0	0	0
gene-1766	0	0	0	0	0	0	0	0	0	0	0	0
gene-1767	0	0	0	0	0	0	0	0	0	0	0	0
gene-1768	0	0	1	0	0	0	1	1	1	0	0	1
gene-1769	0	0	0	0	0	0	0	0	0	0	0	0
gene-1770	0	0	0	0	0	0	0	0	0	0	0	0
gene-1771	0	0	0	0	0	0	0	0	0	0	0	0
gene-1772	0	0	0	0	0	0	0	0	0	0	0	0
gene-1773	0	0	0	0	0	0	0	0	0	0	0	0
gene-1774	0	0	0	0	0	0	0	0	0	0	0	0
gene-1775	354	279	326	398	1204	796	1871	1374	1139	282	212	338
gene-1776	8	12	14	5	32	23	53	49	37	12	10	4
gene-1777	0	0	0	0	2	0	1	1	0	0	0	0
gene-1778	0	0	0	0	4	1	1	0	1	0	0	0
gene-1779	62	49	55	40	164	118	96	180	151	58	37	82
gene-1780	17	21	32	20	57	53	140	94	79	16	9	18
gene-1781	147	135	142	136	403	279	570	423	409	94	55	125
gene-1782	37	22	24	34	97	75	162	133	101	18	21	16
gene-1783	4	7	1	1	13	8	2	6	3	9	6	8
gene-1784	560	434	531	3136	3175	1418	1696	791	488	1079	854	1140
gene-1785	0	0	0	0	0	0	0	0	0	0	0	0
gene-1786	5	5	12	72	115	56	40	11	18	77	63	56
gene-1787	0	0	0	0	0	0	0	0	0	0	0	0
gene-1788	0	0	0	0	0	0	0	0	0	0	0	0
gene-1789	157	103	172	145	179	86	345	163	86	40	43	51
gene-1790	0	2	0	0	0	0	0	0	0	0	0	0
gene-1791	0	0	0	0	0	0	0	0	0	0	0	0
gene-1792	0	0	0	0	0	0	0	0	0	0	0	0
gene-1793	0	0	0	0	0	0	0	0	0	0	0	0
gene-1794	0	0	0	0	0	0	0	0	0	0	0	0
gene-1795	0	0	0	0	0	0	0	0	0	0	0	0
gene-1796	0	0	0	0	0	0	3	0	0	0	0	0
gene-1797	1	2	0	0	2	0	2	3	1	0	1	0
gene-1798	0	0	0	1	0	0	0	0	0	0	0	0
gene-1799	0	0	0	0	0	0	0	0	0	0	0	0
gene-1800	0	1	1	0	0	0	2	1	1	0	0	0
gene-1801	0	0	0	0	0	0	0	2	0	0	0	0
gene-1802	0	1	0	0	0	0	0	0	1	2	0	0
gene-1803	0	0	0	0	1	0	1	0	0	0	0	0
gene-1804	0	0	0	0	0	0	0	0	0	0	0	0
gene-1805	0	1	5	3	3	1	13	3	3	2	1	0
gene-1806	0	0	0	0	0	0	0	0	0	0	0	0
gene-1807	1	0	0	1	0	0	2	1	0	1	1	0
gene-1808	2	1	0	0	0	0	1	0	0	1	0	1
gene-1809	0	0	0	0	0	0	0	0	0	0	0	0
gene-1810	0	0	0	0	0	0	0	0	0	1	0	0
gene-1811	0	0	0	0	1	0	0	0	0	0	1	1
gene-1812	0	0	0	0	0	0	0	0	0	0	1	0
gene-1813	0	0	0	0	0	0	0	0	0	0	0	0
gene-1814	0	1	0	1	0	2	0	0	1	0	0	0
gene-1815	0	1	0	0	0	0	0	0	0	0	0	0
gene-1816	0	0	0	0	0	0	0	0	0	0	0	0
gene-1817	0	0	0	0	0	0	0	1	0	0	1	0
gene-1818	0	1	0	0	0	0	0	0	0	0	0	0
gene-1819	0	1	2	1	1	1	0	4	0	2	1	0
gene-1820	0	0	0	0	0	2	0	0	0	0	0	0
gene-1821	1	0	0	5	1	0	3	1	0	1	1	0
gene-1822	0	0	0	0	0	0	0	0	0	0	0	0
gene-1823	0	0	0	1	3	3	0	0	0	0	0	0
gene-1824	0	0	0	0	0	0	0	0	0	0	0	0
gene-1825	0	0	0	0	0	0	0	0	0	0	0	0
gene-1826	3	2	2	5	0	1	3	2	0	2	1	1
gene-1827	0	0	0	0	1	1	0	0	0	0	0	0
gene-1828	0	0	0	0	0	0	0	0	0	0	0	0
gene-1829	0	0	0	0	0	0	0	0	0	0	0	0
gene-1830	0	0	4	0	0	0	1	0	0	0	0	0
gene-1831	0	1	0	0	0	0	0	0	0	0	2	0
gene-1832	0	0	1	0	2	2	0	0	0	1	0	0
gene-1833	0	0	0	0	0	0	0	0	0	0	0	0
gene-1834	0	0	0	0	0	0	0	0	0	0	0	0
gene-1835	0	0	0	0	3	0	2	1	1	1	0	2
gene-1836	0	0	0	1	2	0	1	0	0	0	1	0
gene-1837	0	0	0	0	0	0	0	0	0	0	0	0
gene-1838	0	0	0	0	0	0	0	0	0	0	0	2
gene-1839	0	0	0	1	0	1	0	1	0	0	0	0
gene-1840	0	0	1	0	0	0	0	0	0	0	0	0
gene-1841	0	1	0	1	1	1	0	0	0	0	0	0
gene-1842	0	0	0	2	2	0	0	2	0	0	2	0
gene-1843	0	1	1	0	0	2	0	0	0	1	1	1
gene-1844	0	0	0	0	0	0	0	0	0	0	0	0
gene-1845	1	3	3	2	2	0	6	4	4	0	2	0
gene-1846	0	0	0	0	1	0	2	1	0	0	0	0
gene-1847	0	0	0	0	0	0	0	0	0	0	0	0
gene-1848	2	0	0	0	0	0	0	0	2	0	0	0
gene-1849	0	0	2	0	0	0	0	0	0	0	0	0
gene-1850	0	0	0	1	0	0	0	1	0	0	0	2
gene-1851	0	0	0	0	0	0	0	0	0	0	0	0
gene-1852	3	1	2	0	3	0	3	6	2	0	0	3
gene-1853	0	0	0	0	0	0	0	0	0	0	0	0
gene-1854	0	0	0	0	0	0	0	0	0	0	0	0
gene-1855	0	0	0	0	1	0	0	0	0	0	0	0
gene-1856	0	0	0	1	0	0	0	0	0	0	0	0
gene-1857	0	0	0	0	0	0	0	0	0	0	0	0
gene-1858	0	0	0	0	0	0	0	0	0	0	0	0
gene-1859	1	1	0	1	4	0	2	1	1	0	0	0
gene-1860	0	0	0	0	0	0	0	0	0	0	0	0
gene-1861	0	0	0	0	0	0	0	0	0	0	0	0
gene-1862	0	0	0	0	0	0	0	0	0	0	0	0
gene-1863	1	0	0	1	2	0	1	1	0	0	1	2
gene-1864	0	0	0	0	0	0	0	0	0	0	0	2
gene-1865	0	0	0	0	0	0	0	0	0	0	0	0
gene-1866	0	0	0	0	0	0	0	0	0	0	0	0
gene-1867	0	0	0	0	0	0	0	0	0	0	0	0
gene-1868	0	0	0	0	0	0	0	0	0	0	0	0
gene-1869	0	0	0	0	0	0	1	0	0	0	0	0
gene-1870	1	0	0	0	0	0	0	0	0	0	0	0
gene-1871	0	0	0	0	0	0	0	0	0	1	0	0
gene-1872	0	0	0	0	0	0	0	0	0	0	0	0
gene-1873	0	0	0	0	0	0	0	0	0	0	0	0
gene-1874	0	0	0	0	0	0	0	0	0	0	0	0
gene-1875	0	1	0	0	0	0	0	1	0	0	0	0
gene-1876	0	1	0	1	0	0	1	0	0	1	0	1
gene-1877	1	3	1	52	13	4	3	0	0	70	10	23
gene-1878	1	0	0	84	20	4	0	0	0	78	13	36
gene-1879	0	0	0	0	2	0	0	0	0	0	0	0
gene-1880	0	0	1	0	0	4	3	1	1	0	0	0
gene-1881	0	0	0	0	0	0	0	0	0	0	0	0
gene-1882	0	0	0	0	0	0	0	0	0	0	0	0
gene-1883	2	2	1	0	7	1	4	3	4	3	7	0
gene-1884	0	0	0	0	0	0	0	0	0	0	0	0
gene-1885	1	3	9	97	103	48	35	3	2	35	10	29
gene-1886	1	2	0	16	29	17	3	7	6	17	16	10
gene-1887	12	11	4	2	11	3	2	3	1	11	18	4
gene-1888	1	3	2	40	32	23	1	1	3	17	9	14
gene-1889	5367	4686	6266	12910	9789	5216	11025	4737	3496	5827	3804	4462
gene-1890	2	1	0	0	0	2	0	0	0	0	0	0
gene-1891	118	69	98	80	77	62	211	96	64	76	94	70
gene-1892	0	0	0	0	0	0	0	0	0	0	0	1
gene-1893	0	0	0	0	0	0	0	0	0	4	0	0
gene-1894	0	0	0	0	0	0	0	0	0	0	0	0
gene-1895	0	0	0	0	0	0	0	0	0	0	0	0
gene-1896	3	0	0	0	2	1	4	2	1	0	0	1
gene-1897	0	0	0	0	0	0	0	1	1	1	0	1
gene-1898	0	0	0	0	0	0	1	0	0	0	0	0
gene-1899	2	1	3	3	4	3	10	0	2	1	1	0
gene-1900	0	0	0	0	0	0	0	0	0	0	0	0
gene-1901	0	0	0	0	0	0	0	0	0	0	0	0
gene-1902	1	1	2	1	5	2	9	0	4	1	4	1
gene-1903	1	0	0	1	1	0	0	0	1	0	1	0
gene-1904	0	0	0	0	0	0	0	0	0	0	0	0
gene-1905	0	0	0	0	0	0	0	0	0	0	0	0
gene-1906	0	0	0	0	0	0	0	0	0	0	0	0
gene-1907	0	0	0	0	0	1	0	1	0	0	0	0
gene-1908	2	1	0	5	6	1	0	0	0	1	2	3
gene-1909	0	0	0	0	0	0	0	0	0	0	0	0
gene-1910	0	0	0	3	1	0	0	0	0	2	0	0
gene-1911	0	0	0	1	3	1	0	0	0	0	0	0
gene-1912	2	0	0	1	1	0	1	1	0	0	0	0
gene-1913	0	0	0	0	0	0	0	0	0	0	0	0
gene-1914	0	0	0	0	0	0	0	0	0	0	0	1
gene-1915	0	0	0	0	0	0	0	0	0	0	0	0
gene-1916	0	1	0	0	4	0	2	1	2	2	0	1
gene-1917	2	2	4	5	3	2	3	6	6	3	2	3
gene-1918	0	0	0	0	0	0	0	0	0	0	0	0
gene-1919	20	15	17	10	50	18	28	25	20	22	12	8
gene-1920	0	0	0	0	0	0	0	0	0	0	0	0
gene-1921	0	0	0	0	0	0	0	0	0	0	0	0
gene-1922	1	2	1	0	12	0	5	0	0	0	29	0
gene-1923	0	0	0	0	0	0	0	0	0	1	0	0
gene-1924	0	0	0	0	0	0	0	0	0	0	0	0
gene-1925	2	0	0	1	0	0	0	0	0	0	0	0
gene-1926	228	235	246	395	757	626	2494	1352	838	201	164	331
gene-1927	16	29	18	18	64	43	99	93	51	15	23	21
gene-1928	118	131	75	86	354	164	76	103	83	226	205	161
gene-1929	421	411	413	842	1347	789	970	509	449	1204	886	898
gene-1930	0	0	0	0	0	0	3	0	0	1	0	1
gene-1931	0	1	0	1	0	0	0	1	0	1	0	0
gene-1932	0	0	0	0	0	0	0	0	0	0	0	0
gene-1933	0	3	0	33	40	16	2	0	2	6	9	6
gene-1934	0	0	0	0	0	0	0	0	0	0	0	0
gene-1935	0	0	0	0	0	0	0	0	0	0	0	0
gene-1936	0	0	0	0	0	0	0	0	0	0	0	0
gene-1937	0	0	0	0	0	0	0	0	0	0	0	0
gene-1938	0	0	0	0	0	0	0	0	0	0	0	0
gene-1939	39	29	20	12	32	29	22	30	12	23	15	18
gene-1940	91	54	86	75	101	70	239	106	81	34	46	18
gene-1941	24	24	26	19	124	71	64	125	128	25	30	30
gene-1942	90	75	118	155	344	242	773	432	380	80	57	77
gene-1943	0	0	0	0	1	0	0	0	0	0	0	0
gene-1944	1	2	1	0	2	0	0	1	1	5	2	2
gene-1945	22	17	15	15	84	77	84	102	73	23	34	22
gene-1946	0	0	0	0	2	0	0	0	0	0	0	0
gene-1947	405	387	610	582	1400	1029	3583	1781	1742	569	375	562
gene-1948	0	0	0	0	0	0	0	0	0	0	0	0
gene-1949	0	0	0	0	0	0	0	0	0	0	0	0
gene-1950	174	126	149	78	452	276	248	570	384	117	93	107
gene-1951	0	1	0	0	3	1	2	3	2	0	2	1
gene-1952	12	12	4	0	25	24	11	44	27	9	11	4
gene-1953	6	11	10	3	25	7	25	21	13	3	1	4
gene-1954	76	85	49	31	131	54	173	137	92	34	59	27
gene-1955	4059	3089	2917	2028	5648	2973	12054	6436	5024	928	1616	945
gene-1956	87	83	80	37	124	37	128	100	91	43	75	30
gene-1957	79	48	88	27	29	18	431	74	95	4	12	9
gene-1958	24519	20173	26426	16060	25424	14467	49388	30831	18979	8291	10021	7049
gene-1959	177	95	118	192	509	331	1419	848	576	45	92	28
gene-1960	7	2	4	26	38	15	225	71	32	3	6	2
gene-1961	89	88	55	39	133	52	63	76	54	74	66	58
gene-1962	14014	12096	9867	5242	18202	9089	10650	13563	8438	9582	10832	7298
gene-1963	0	0	2	2	6	7	0	1	1	6	2	2
gene-1964	90	68	54	22	49	30	64	41	51	27	35	11
gene-1965	1337	1265	988	361	1095	568	2785	1773	1022	534	1269	365
gene-1966	0	0	0	0	0	0	0	0	0	0	0	0
gene-1967	0	0	0	0	0	0	0	0	0	0	0	0
gene-1968	0	0	0	0	0	0	0	0	0	1	0	0
gene-1969	1	0	0	0	2	0	0	0	0	2	0	0
gene-1970	0	0	0	0	0	0	0	0	0	0	0	0
gene-1971	2	2	1	6	2	0	0	2	1	1	3	2
gene-1972	18	20	21	113	141	73	51	25	28	42	35	40
gene-1973	0	0	0	6	17	5	0	0	1	10	8	8
gene-1974	1011	1202	1291	15598	16893	9011	5001	1590	1732	12482	7887	10857
gene-1975	379	330	383	1413	1047	548	462	174	112	957	569	901
gene-1976	5340	4678	6804	28454	20904	11265	9930	3173	2881	17121	10441	16931
gene-1977	0	0	0	0	0	0	0	0	0	0	0	0
gene-1978	0	0	0	0	0	1	1	0	0	0	0	0
